id,section,condition,trial,value,Sound Scape,Trial Number
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,monaural,temporal,66,soundscape2,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,monaural,effort,50,soundscape2,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,monaural,physical,23,soundscape2,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,monaural,mental,96,soundscape2,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,monaural,frustration,100,soundscape2,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,monaural,performance,50,soundscape2,
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,monaural,3,0.2222222222222222,soundscape2,1
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,monaural,5,0.8,soundscape2,1
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,monaural,7,0.24489795918367344,soundscape2,1
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,monaural,9,0.19753086419753085,soundscape2,1
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,monaural,11,0.20661157024793386,soundscape2,1
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,monaural,13,0.2366863905325444,soundscape2,1
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,monaural,15,0.24,soundscape2,1
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,monaural,17,0.2422145328719723,soundscape2,1
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,pan,3,0.6666666666666666,soundscape1,2
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,pan,5,0.12,soundscape1,2
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,pan,7,0.16326530612244897,soundscape1,2
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,pan,9,0.24691358024691357,soundscape1,2
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,pan,11,0.17355371900826444,soundscape1,2
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,pan,13,0.1183431952662722,soundscape1,2
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,pan,15,0.14222222222222222,soundscape1,2
5ead995d-c1cc-4d34-bf21-f1881413451f,trial,pan,17,0.20761245674740486,soundscape1,2
5ead995d-c1cc-4d34-bf21-f1881413451f,demographics,,hearing_level,Average,,
5ead995d-c1cc-4d34-bf21-f1881413451f,demographics,,age,22,,
5ead995d-c1cc-4d34-bf21-f1881413451f,demographics,,nationality,White,,
5ead995d-c1cc-4d34-bf21-f1881413451f,demographics,,musical_ability,Intermediate,,
5ead995d-c1cc-4d34-bf21-f1881413451f,demographics,,gender,Man,,
5ead995d-c1cc-4d34-bf21-f1881413451f,demographics,,anxiety_level,Moderate,,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,pan,temporal,76,soundscape1,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,pan,effort,24,soundscape1,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,pan,physical,50,soundscape1,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,pan,mental,95,soundscape1,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,pan,frustration,100,soundscape1,
5ead995d-c1cc-4d34-bf21-f1881413451f,NasaTLX,pan,performance,23,soundscape1,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,monaural,temporal,26,soundscape2,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,monaural,effort,50,soundscape2,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,monaural,physical,0,soundscape2,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,monaural,mental,27,soundscape2,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,monaural,frustration,50,soundscape2,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,monaural,performance,50,soundscape2,
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,monaural,3,1,soundscape2,1
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,monaural,5,0.24,soundscape2,1
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,monaural,7,0.18367346938775508,soundscape2,1
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,monaural,9,0.19753086419753085,soundscape2,1
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,monaural,11,0.1983471074380165,soundscape2,1
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,monaural,13,0,soundscape2,1
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,monaural,15,0,soundscape2,1
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,monaural,17,0,soundscape2,1
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,pan,3,1,soundscape1,2
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,pan,5,0.24,soundscape1,2
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,pan,7,0.24489795918367344,soundscape1,2
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,pan,9,0,soundscape1,2
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,pan,11,0,soundscape1,2
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,pan,13,0,soundscape1,2
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,pan,15,0,soundscape1,2
7446e85b-22c4-4018-8cc2-34fdfa35f316,trial,pan,17,0,soundscape1,2
7446e85b-22c4-4018-8cc2-34fdfa35f316,demographics,,hearing_level,Average,,
7446e85b-22c4-4018-8cc2-34fdfa35f316,demographics,,age,61,,
7446e85b-22c4-4018-8cc2-34fdfa35f316,demographics,,nationality,White,,
7446e85b-22c4-4018-8cc2-34fdfa35f316,demographics,,musical_ability,Beginner,,
7446e85b-22c4-4018-8cc2-34fdfa35f316,demographics,,gender,male,,
7446e85b-22c4-4018-8cc2-34fdfa35f316,demographics,,anxiety_level,Moderate,,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,pan,temporal,25,soundscape1,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,pan,effort,50,soundscape1,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,pan,physical,18,soundscape1,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,pan,mental,24,soundscape1,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,pan,frustration,50,soundscape1,
7446e85b-22c4-4018-8cc2-34fdfa35f316,NasaTLX,pan,performance,50,soundscape1,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,pan,temporal,50,soundscape1,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,pan,effort,99,soundscape1,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,pan,physical,1,soundscape1,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,pan,mental,50,soundscape1,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,pan,frustration,99,soundscape1,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,pan,performance,50,soundscape1,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,pan,3,1,soundscape1,1
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,pan,5,0.12,soundscape1,1
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,pan,7,0.18367346938775508,soundscape1,1
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,pan,9,0.18518518518518517,soundscape1,1
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,pan,11,0.1652892561983471,soundscape1,1
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,pan,13,0.2485207100591716,soundscape1,1
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,pan,15,0.21333333333333335,soundscape1,1
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,pan,17,0.18685121107266436,soundscape1,1
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,monaural,3,1,soundscape2,2
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,monaural,5,0.12,soundscape2,2
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,monaural,7,0.20408163265306123,soundscape2,2
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,monaural,9,0.2222222222222222,soundscape2,2
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,monaural,11,0.23140495867768596,soundscape2,2
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,monaural,13,0.2485207100591716,soundscape2,2
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,monaural,15,0.24888888888888888,soundscape2,2
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,trial,monaural,17,0.2491349480968858,soundscape2,2
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,demographics,,hearing_level,Average,,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,demographics,,age,28,,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,demographics,,nationality,American,,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,demographics,,musical_ability,Beginner,,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,demographics,,gender,Female,,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,demographics,,anxiety_level,High,,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,monaural,temporal,50,soundscape2,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,monaural,effort,100,soundscape2,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,monaural,physical,0,soundscape2,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,monaural,mental,50,soundscape2,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,monaural,frustration,50,soundscape2,
cc9523b1-3d59-440c-b1a5-a51fca7f51bf,NasaTLX,monaural,performance,50,soundscape2,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,monaural,temporal,68,soundscape2,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,monaural,effort,64,soundscape2,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,monaural,physical,49,soundscape2,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,monaural,mental,83,soundscape2,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,monaural,frustration,81,soundscape2,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,monaural,performance,68,soundscape2,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,monaural,3,1.0,soundscape2,1
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,monaural,5,0.12,soundscape2,1
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,monaural,7,0.12244897959183672,soundscape2,1
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,monaural,9,0.19753086419753085,soundscape2,1
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,monaural,11,0.23140495867768596,soundscape2,1
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,monaural,13,0.20710059171597633,soundscape2,1
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,monaural,15,0.19999999999999998,soundscape2,1
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,monaural,17,0.1522491349480969,soundscape2,1
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,pan,3,1.0,soundscape1,2
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,pan,5,0.24,soundscape1,2
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,pan,7,0.20408163265306123,soundscape1,2
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,pan,9,0.24691358024691357,soundscape1,2
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,pan,11,0.17355371900826444,soundscape1,2
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,pan,13,0.21301775147928995,soundscape1,2
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,pan,15,0.24,soundscape1,2
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,trial,pan,17,0.0,soundscape1,2
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,demographics,,hearing_level,Above Average,,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,demographics,,age,28,,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,demographics,,nationality,American ,,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,demographics,,musical_ability,Intermediate,,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,demographics,,gender,Male ,,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,demographics,,anxiety_level,High,,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,pan,temporal,73,soundscape1,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,pan,effort,68,soundscape1,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,pan,physical,29,soundscape1,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,pan,mental,82,soundscape1,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,pan,frustration,70,soundscape1,
fc121f8c-f14b-4d93-bcd2-a44eb743dc95,NasaTLX,pan,performance,74,soundscape1,
